Precip_Date,Days,Day_num,Date_bin,Precip_avg(mm)
2010-03-25,2days_after,2,0,2.0850050507496705
2010-04-18,day_before,-1,0,1.9621919682450502
2010-04-19,day_of,0,1,0.2380483808809433
2010-04-20,1day_after,1,0,0.6778073980038168
2010-04-21,2days_after,2,0,0.04240792762015092
2010-08-17,day_before,-1,0,0.0324978557930014
2010-08-18,day_of,0,1,2.6234851840706868
2010-08-19,1day_after,1,0,0.010952218015927365
2010-08-20,2days_after,2,0,0.03960261039589321
2010-11-30,day_before,-1,0,2.220786367491786
2010-12-01,day_of,0,1,0.04350235241512345
2010-12-02,1day_after,1,0,0.28805906379132895
2010-12-03,2days_after,2,0,1.9554262638882594
2010-12-22,day_before,-1,0,0.08701171707236123
2010-12-23,day_of,0,1,0.001376956735652174
2010-12-24,1day_after,1,0,0.0006610167209705377
2010-12-25,2days_after,2,0,0.18660843022270354
2011-01-11,day_before,-1,0,0.12444896195031581
2011-01-12,day_of,0,1,0.18309535302148958
2011-01-13,1day_after,1,0,0.3722497530247852
2011-01-14,2days_after,2,0,0.16732143109918335
2011-11-01,day_before,-1,0,20.42326844386891
2011-11-02,day_of,0,1,4.701771390540552
2011-11-03,1day_after,1,0,0.9482014343365179
2011-11-04,2days_after,2,0,16.348670792864752
2012-10-22,day_before,-1,0,0.03193989882778489
2012-10-23,day_of,0,1,0.015305486228288642
2012-10-24,day_of,0,1,0.02814838959233229
2012-10-25,day_of,0,1,0.10847113835454407
2012-10-26,-,-,0,0.03834920980477099
2012-10-27,day_of,0,1,0.10301952201417654
2012-10-28,1day_after,1,0,0.01968136389707566
2012-10-29,2days_after,2,0,0.3432195878020352
2012-11-06,day_before,-1,0,0.8985925075966661
2012-11-07,day_of,0,1,0.11804322240841386
2012-11-08,1day_after,1,0,0.25363372758004954
2012-11-09,2days_after,2,0,15.231547703469637
2012-12-03,day_before,-1,0,0.3926038707815021
2012-12-04,day_of,0,1,0.5461680428944158
2012-12-05,1day_after,1,0,0.31374083790177393
2012-12-06,2days_after,2,0,0.8053655190543008
2013-11-07,day_before,-1,0,0.24928750884982132
2013-11-08,day_of,0,1,0.07605544451928052
2013-11-09,1day_after,1,0,0.053052830310977066
2013-11-10,2days_after,2,0,12.6386139920079
2013-11-11,-,-,0,20.604815388321256
2013-11-12,-,-,0,1.6296386362294855
2013-11-13,-,-,0,0.8191038163302901
2013-11-14,-,-,0,6.555389238765603
2013-11-15,day_before,-1,0,0.27212311906466685
2013-11-16,day_of,0,1,0.5585451400723281
2013-11-17,day_of,0,1,1.35465748723069
2013-11-18,1day_after,1,0,0.07653863920246246
2013-11-19,2days_after,2,0,4.135306344212225
2014-10-27,day_before,-1,0,0.057661252279557096
2014-10-28,day_of,0,1,0.03998374077487002
2014-10-29,1day_after,1,0,1.130767169065165
2014-10-30,2days_after,2,0,1.2756737900585489
2015-03-31,day_before,-1,0,0.20588475472431655
2015-04-01,day_of,0,1,1.650711689698078
2015-04-02,day_of,0,1,0.5351234824341164
2015-04-03,1day_after,1,0,0.07044780183600097
2015-04-04,2days_after,2,0,0.09914130762354094
2015-04-23,day_before,-1,0,0.007645591490514955
2015-04-24,day_of,0,1,0.006447100388646608
2015-04-25,1day_after,1,0,0.0030338709361074447
2015-04-26,2days_after,2,0,0.013790231536109235
2015-05-19,day_before,-1,0,0.7243037148489544
2015-05-20,day_of,0,1,0.4008170175661495
2015-05-21,day_of,0,1,0.05041921278576818
2015-05-22,day_of,0,1,0.13512831613147974
2015-05-23,1day_after,1,0,0.03532772652842664
2015-05-24,2days_after,2,0,0.3085909582844753
2015-11-12,day_before,-1,0,8.707533097462449
2015-11-13,day_of,0,1,0.5715306365816539
2015-11-14,1day_after,1,0,0.7644279400739844
2015-11-15,2days_after,2,0,0.04692656497057713
2016-02-19,day_before,-1,0,0.4227037928719657
2016-02-20,day_of,0,1,1.0238512744002364
2016-02-21,1day_after,1,0,0.0331013560718938
2016-02-22,2days_after,2,0,0.06800115462301515
2016-10-05,day_before,-1,0,0.013830856326464651
2016-10-06,day_of,0,1,0.0236930620638384
2016-10-07,1day_after,1,0,0.020749599958282815
2016-10-08,2days_after,2,0,0.005884502044444449
2016-10-22,day_before,-1,0,1.8499117948469201
2016-10-23,day_of,0,1,0.4381505967481815
2016-10-24,day_of,0,1,0.032780718873433284
2016-10-25,day_of,0,1,0.016210748143927197
2016-10-26,1day_after,1,0,0.1111930213997734
2016-10-27,2days_after,2,0,1.973210305222589
2017-11-06,day_before,-1,0,4.953874817830781
2017-11-07,day_of,0,1,3.034099759040419
2017-11-08,day_of,0,1,0.17203742873055702
2017-11-09,1day_after,1,0,0.22283102266814472
2017-11-10,-,-,0,0.5717246723701152
2017-11-11,day_of,0,1,0.3088636445577484
2017-11-12,-,-,0,0.6650918064209005
